Quality	Host to Device (us)	Device to Host (us)	Kernel Execution (us)	E2E (us)
100	128.16	5715.2	679.44	321067
10	107.4	5942.4	245.8	287518
12	113.42	5990.56	299.36	297463
14	107.96	5945.88	255.2	296714
16	172.42	6363.2	262.62	282156
18	88.62	5940.2	251.42	266226
20	135.48	5960.68	267.66	276296
2	106.06	6194.16	228.84	273676
30	159.24	6341.74	291.18	271569
38	125.696	5926.04	275.739	310186
40	121.66	6300.5	328.04	275112
4	120.26	5694.96	235.3	299672
50	152.14	6413.94	321.4	291939
60	115.3	5910.56	336.12	295126
6	120.68	6310.28	228.5	271165
70	123.12	5751.56	347.9	278180
80	114.14	5794.6	381.62	275717
8	98.8	5930.36	226.92	271946
90	104.2	5876.22	395.3	283042
